idx,alpha,a,b,c,d,e,f,1,2,3,4,5,6,beta
alpha,0,53,62,65,62,62,65,65,55,56,51,68,58,20
a,13,0,19,18,14,12,11,18,12,17,19,14,12,15
b,10,11,0,14,20,18,10,16,13,16,19,13,14,10
c,12,15,16,0,14,13,17,12,19,19,13,20,11,20
d,19,18,16,12,0,19,11,19,17,20,12,16,12,17
e,17,10,16,12,13,0,18,12,15,13,11,12,17,15
f,10,10,19,12,13,13,0,12,18,15,17,14,17,14
1,18,10,11,12,11,10,17,0,17,12,20,10,15,17
2,16,14,12,20,13,14,14,11,0,12,13,17,13,10
3,16,16,19,10,16,18,19,16,10,0,16,20,14,11
4,14,13,19,19,12,10,20,17,14,10,0,18,14,10
5,20,16,13,18,16,10,10,10,19,10,10,0,19,10
6,17,19,14,15,11,16,12,14,14,13,16,15,0,17
beta,25,54,52,52,66,67,51,53,70,50,58,68,52,0
